GEO_ID,NAME,POP
1600000US0147848,"Megargel CDP, Alabama",9
1600000US0148052,"Memphis town, Alabama",27
1600000US0148064,"Mentone town, Alabama",360
1600000US0148112,"Meridianville CDP, Alabama",10268
1600000US0148376,"Midfield city, Alabama",5101
1600000US0148400,"Midland City town, Alabama",1803
1600000US0148424,"Midway town, Alabama",633
1600000US0148616,"Mignon CDP, Alabama",820
1600000US0148712,"Millbrook city, Alabama",16923
1600000US0148784,"Millerville CDP, Alabama",389
1600000US0148808,"Millport town, Alabama",1417
1600000US0148832,"Millry town, Alabama",548
1600000US0149072,"Minor CDP, Alabama",911
1600000US0150000,"Mobile city, Alabama",185097
1600000US0150192,"Monroeville city, Alabama",5875
1600000US0150312,"Montevallo city, Alabama",7429
1600000US0151000,"Montgomery city, Alabama",198440
1600000US0151096,"Moody city, Alabama",13378
1600000US0151216,"Moores Mill CDP, Alabama",6041
1600000US0151264,"Mooresville town, Alabama",70
1600000US0151456,"Morris town, Alabama",2546
1600000US0151469,"Morrison Crossroads CDP, Alabama",126
1600000US0151520,"Mosses town, Alabama",865
1600000US0151600,"Moulton city, Alabama",3397
1600000US0151648,"Moundville town, Alabama",3649
1600000US0151696,"Mountain Brook city, Alabama",22160
1600000US0152320,"Mount Olive CDP (Coosa County), Alabama",202
1600000US0152344,"Mount Olive CDP (Jefferson County), Alabama",3449
1600000US0152608,"Mount Vernon town, Alabama",1339
1600000US0152680,"Movico CDP, Alabama",109
1600000US0152776,"Mulga town, Alabama",589
1600000US0152848,"Munford town, Alabama",1694
1600000US0153016,"Muscle Shoals city, Alabama",16670
1600000US0153112,"Myrtlewood town, Alabama",102
1600000US0153208,"Nanafalia CDP, Alabama",16
1600000US0153232,"Nances Creek CDP, Alabama",447
1600000US0153256,"Napier Field town, Alabama",505
1600000US0153376,"Natural Bridge town, Alabama",33
1600000US0153400,"Nauvoo town, Alabama",233
1600000US0153448,"Nectar town, Alabama",474
1600000US0153472,"Needham town, Alabama",83
1600000US0153784,"Newbern town, Alabama",334
1600000US0153856,"New Brockton town, Alabama",1440
1600000US0154168,"New Hope city, Alabama",2895
1600000US0154312,"New Market CDP, Alabama",1296
1600000US0154432,"New Site town, Alabama",740
1600000US0154480,"Newton town, Alabama",1431
1600000US0154582,"New Union CDP, Alabama",927
1600000US0154600,"Newville town, Alabama",587
1600000US0154696,"Nixburg CDP, Alabama",414
1600000US0155044,"North Courtland town, Alabama",405
1600000US0155152,"North Johns town, Alabama",103
1600000US0155200,"Northport city, Alabama",30991
1600000US0155440,"Notasulga town, Alabama",1074
1600000US0155752,"Oak Grove town, Alabama",905
1600000US0155848,"Oak Hill town, Alabama",12
1600000US0155992,"Oakman town, Alabama",872
1600000US0156400,"Odenville city, Alabama",5015
1600000US0156472,"Ohatchee town, Alabama",1043
1600000US0157000,"Oneonta city, Alabama",6943
1600000US0157024,"Onycha town, Alabama",208
1600000US0157048,"Opelika city, Alabama",31944
1600000US0157120,"Opp city, Alabama",6752
1600000US0157144,"Orange Beach city, Alabama",8244
1600000US0157240,"Orrville town, Alabama",120
1600000US0157384,"Our Town CDP, Alabama",596
1600000US0157504,"Owens Cross Roads town, Alabama",2678
1600000US0157576,"Oxford city, Alabama",22063
1600000US0157648,"Ozark city, Alabama",14348
1600000US0157696,"Paint Rock town, Alabama",182
1600000US0157912,"Panola CDP, Alabama",84
1600000US0158272,"Parrish town, Alabama",1093
1600000US0158680,"Pea Ridge CDP, Alabama",808
1600000US0158848,"Pelham city, Alabama",24510
1600000US0158896,"Pell City city, Alabama",13353
1600000US0158968,"Pennington town, Alabama",536
1600000US0159016,"Penton CDP, Alabama",128
1600000US0159064,"Perdido CDP, Alabama",515
1600000US0159088,"Perdido Beach town, Alabama",595
1600000US0159232,"Peterman CDP, Alabama",26
1600000US0159328,"Petrey town, Alabama",66
1600000US0159472,"Phenix City city, Alabama",38477
1600000US0159496,"Phil Campbell town, Alabama",834
1600000US0159592,"Pickensville town, Alabama",776
1600000US0159640,"Piedmont city, Alabama",4749
1600000US0159760,"Pike Road town, Alabama",10103
1600000US0159832,"Pinckard town, Alabama",679
1600000US0159880,"Pine Apple town, Alabama",157
1600000US0160240,"Pine Hill town, Alabama",861
1600000US0160264,"Pine Level CDP, Alabama",4228
1600000US0160372,"Pine Ridge town, Alabama",546
1600000US0160648,"Pinson city, Alabama",7851
1600000US0160720,"Pisgah town, Alabama",1009
1600000US0161008,"Pleasant Grove city, Alabama",9502
1600000US0161038,"Pleasant Groves town, Alabama",490
1600000US0161488,"Point Clear CDP, Alabama",1858
1600000US0161536,"Pollard town, Alabama",111
1600000US0162075,"Powell town, Alabama",911
1600000US0162328,"Prattville city, Alabama",38850
1600000US0162472,"Priceville town, Alabama",3653
1600000US0162496,"Prichard city, Alabama",19121
1600000US0162688,"Providence town, Alabama",101
1600000US0162952,"Putnam CDP, Alabama",58
1600000US0163216,"Ragland town, Alabama",1601
1600000US0163288,"Rainbow City city, Alabama",10213
1600000US0163336,"Rainsville city, Alabama",5613
1600000US0163408,"Ranburne town, Alabama",524
1600000US0163495,"Ray CDP, Alabama",488
1600000US0163576,"Red Bay city, Alabama",3213
1600000US0163730,"Redland CDP, Alabama",5231
1600000US0163768,"Red Level town, Alabama",560
1600000US0163912,"Redstone Arsenal CDP, Alabama",971
1600000US0163984,"Reece City town, Alabama",795
1600000US0164040,"Reeltown CDP, Alabama",690
1600000US0164104,"Reform town, Alabama",1636
1600000US0164152,"Rehobeth town, Alabama",1647
1600000US0164248,"Remlap CDP, Alabama",2369
1600000US0164368,"Repton town, Alabama",274
1600000US0164656,"Ridgeville town, Alabama",128
1600000US0164776,"River Falls town, Alabama",534
1600000US0164920,"Riverside city, Alabama",2247
1600000US0165016,"Riverview town, Alabama",249
1600000US0165040,"Roanoke city, Alabama",5332
1600000US0165208,"Robertsdale city, Alabama",6985
1600000US0165412,"Rock Creek CDP, Alabama",1313
1600000US0165472,"Rockford town, Alabama",776
1600000US0165592,"Rock Mills CDP, Alabama",437
1600000US0165784,"Rockville CDP, Alabama",0
1600000US0166216,"Rogersville town, Alabama",1260
1600000US0166408,"Rosa town, Alabama",759
1600000US0167056,"Russellville city, Alabama",10783
1600000US0167176,"Rutledge town, Alabama",223
1600000US0167536,"St. Florian town, Alabama",737
1600000US0167584,"St. Stephens CDP, Alabama",350
1600000US0167608,"Saks CDP, Alabama",10727
1600000US0167800,"Samson city, Alabama",1477
1600000US0167920,"Sand Rock town, Alabama",815
1600000US0168016,"Sanford town, Alabama",228
1600000US0168160,"Saraland city, Alabama",16304
1600000US0168280,"Sardis City town, Alabama",1805
1600000US0168352,"Satsuma city, Alabama",6784
1600000US0168736,"Scottsboro city, Alabama",15641
1600000US0169000,"Section town, Alabama",998
1600000US0169120,"Selma city, Alabama",17442
1600000US0169180,"Selmont-West Selmont CDP, Alabama",2121
1600000US0169240,"Semmes city, Alabama",5404
1600000US0169648,"Sheffield city, Alabama",9334
1600000US0169672,"Shelby CDP, Alabama",691
1600000US0169840,"Shiloh town, Alabama",456
1600000US0169978,"Shoal Creek CDP, Alabama",1371
1600000US0170128,"Shorter town, Alabama",328
1600000US0170416,"Silas town, Alabama",505
1600000US0170536,"Silverhill town, Alabama",929
1600000US0170632,"Sims Chapel CDP, Alabama",0
1600000US0170704,"Sipsey town, Alabama",283
1600000US0170896,"Skyline town, Alabama",1011
