GEOID8,NEAR_DIST,POPDENS,GEOID8,CHITRACT
17031804711,149821.3575,1412.164673,17031804711,
17031804806,145920.5725,1259.61499,17031804806,
17031804808,138281.7918,654.4308472,17031804808,
17031804809,137186.7369,716.9098511,17031804809,
17031812400,44810.53205,960.9379883,17031812400,
17031812500,41832.32465,1474.075928,17031812500,
17031440600,54428.76524,1155.766602,17031440600,1
17031440900,56068.16706,1279.684326,17031440900,1
17031440700,53845.40287,1764.613159,17031440700,1
17031440800,55128.49197,2240.302734,17031440800,1
17031819300,65018.07487,1040.587769,17031819300,
17031819400,65984.37337,1329.758667,17031819400,
17031819500,69790.21256,963.7184448,17031819500,
17031630300,37460.67367,2109.221191,17031630300,1
17031630500,35037.94981,3680.639893,17031630500,1
17031630800,38684.04089,3908.763916,17031630800,1
17031630900,40131.92583,3044.649414,17031630900,1
17031640100,47575.86184,1657.948608,17031640100,1
17031640300,53653.06742,1955.286133,17031640300,1
17031819600,71334.8021,1068.997559,17031819600,
17031827000,93249.51135,786.1091919,17031827000,
17031827100,96279.43016,542.4631348,17031827100,
17031827200,98422.80859,363.0330811,17031827200,
17031827300,99564.09952,538.5630493,17031827300,
17031750100,68129.75045,1121.793579,17031750100,1
17031750200,68909.46474,890.2719116,17031750200,1
17031750300,69816.6649,1440.727295,17031750300,1
17031750400,73209.63531,1127.882935,17031750400,1
17031750500,72869.76097,822.6130981,17031750500,1
17031804901,105105.3075,934.8243408,17031804901,
17031804902,101605.0028,830.1401978,17031804902,
17031805001,108592.9441,621.2550049,17031805001,
17031805002,105567.6499,1518.760132,17031805002,
17031819801,77778.45226,946.9581299,17031819801,
17031819802,79110.40938,609.3292847,17031819802,
17031819900,81270.22198,648.776123,17031819900,
17031820000,83358.95578,497.1687012,17031820000,
17031827400,101308.7521,437.7099304,17031827400,
17031827600,106093.2478,513.0349121,17031827600,
17031282700,17072.41914,2247.654785,17031282700,1
17031282800,16174.64004,3836.427246,17031282800,1
17031400300,32595.68697,418.9986572,17031400300,1
17031400500,33131.59097,2807.28125,17031400500,1
17031400800,36140.8309,2486.652588,17031400800,1
17031410100,32113.53093,3970.068115,17031410100,
17031410500,31317.84829,4288.383301,17031410500,1
17031410600,31566.62074,3628.242432,17031410600,1
17031460100,55448.62055,369.844696,17031460100,1
17031805105,123712.565,958.2770386,17031805105,
17031827700,109624.0684,691.6010742,17031827700,
